component,explained_variance,cumulative_variance
1,0.617433,0.617433
2,0.212474,0.829907
3,0.162074,0.991981
4,0.00492443,0.996906
5,0.00279934,0.999705
6,0.000162549,0.999868
7,5.15806e-05,0.999919
8,1.52042e-05,0.999934
9,1.38674e-05,0.999948
10,8.91159e-06,0.999957
11,6.76249e-06,0.999964
12,5.80201e-06,0.99997
13,3.95425e-06,0.999974
14,2.6275e-06,0.999976
15,2.60122e-06,0.999979
16,2.35744e-06,0.999981
17,2.11997e-06,0.999983
18,1.92119e-06,0.999985
19,1.52832e-06,0.999987
20,1.38235e-06,0.999988
21,1.1937e-06,0.999989
22,1.17822e-06,0.999991
23,1.01682e-06,0.999992
24,8.74667e-07,0.999993
25,7.99797e-07,0.999993
26,7.62237e-07,0.999994
27,6.86006e-07,0.999995
28,6.30826e-07,0.999995
29,5.61912e-07,0.999996
30,4.59905e-07,0.999996
31,4.43378e-07,0.999997
32,3.12757e-07,0.999997
33,2.34474e-07,0.999997
34,2.18311e-07,0.999998
35,1.82746e-07,0.999998
36,1.50204e-07,0.999998
37,1.27864e-07,0.999998
38,1.21051e-07,0.999998
39,1.1213e-07,0.999998
40,1.00447e-07,0.999998
41,9.78848e-08,0.999999
42,9.06768e-08,0.999999
43,8.56208e-08,0.999999
44,7.98294e-08,0.999999
45,7.48516e-08,0.999999
46,7.00511e-08,0.999999
47,5.93892e-08,0.999999
48,5.37779e-08,0.999999
49,4.51733e-08,0.999999
50,4.32781e-08,0.999999
51,4.0845e-08,0.999999
52,3.54652e-08,0.999999
53,3.38522e-08,0.999999
54,3.24195e-08,0.999999
55,3.05833e-08,0.999999
56,2.76145e-08,0.999999
57,2.68159e-08,0.999999
58,2.54029e-08,0.999999
59,2.30861e-08,0.999999
60,2.27575e-08,0.999999
61,2.13564e-08,0.999999
62,2.09078e-08,0.999999
63,1.89686e-08,1
64,1.73969e-08,1
65,1.65907e-08,1
66,1.54435e-08,1
67,1.44816e-08,1
68,1.42446e-08,1
69,1.38059e-08,1
70,1.29925e-08,1
71,1.23797e-08,1
72,1.22428e-08,1
73,1.12806e-08,1
74,1.06342e-08,1
75,1.04891e-08,1
76,1.01142e-08,1
77,9.73414e-09,1
78,9.30551e-09,1
79,9.14138e-09,1
80,8.90408e-09,1
81,8.66678e-09,1
82,8.28155e-09,1
83,8.20612e-09,1
84,7.77129e-09,1
85,7.64921e-09,1
86,7.00408e-09,1
87,6.87347e-09,1
88,6.65634e-09,1
89,6.33624e-09,1
90,6.24554e-09,1
91,5.98597e-09,1
92,5.84215e-09,1
93,5.62191e-09,1
94,5.56909e-09,1
95,5.36201e-09,1
96,5.21498e-09,1
97,4.70574e-09,1
98,4.61696e-09,1
99,4.39115e-09,1
100,4.00236e-09,1
101,3.97472e-09,1
102,3.6484e-09,1
103,3.48157e-09,1
104,3.32471e-09,1
105,3.19183e-09,1
106,2.99272e-09,1
107,2.97591e-09,1
108,2.64362e-09,1
109,2.52061e-09,1
110,2.27506e-09,1
111,2.146e-09,1
112,2.03934e-09,1
113,1.97033e-09,1
114,1.82383e-09,1
115,1.79211e-09,1
116,1.73048e-09,1
117,1.6826e-09,1
118,1.67867e-09,1
119,1.65761e-09,1
120,1.5949e-09,1
121,1.49266e-09,1
122,1.46697e-09,1
123,1.45313e-09,1
124,1.41829e-09,1
125,1.39863e-09,1
126,1.38745e-09,1
127,1.35916e-09,1
128,1.34158e-09,1
129,1.32411e-09,1
130,1.31268e-09,1
131,1.29869e-09,1
132,1.2846e-09,1
133,1.26904e-09,1
134,1.23734e-09,1
135,1.22573e-09,1
136,1.2106e-09,1
137,1.20497e-09,1
138,1.19562e-09,1
139,1.18486e-09,1
140,1.16566e-09,1
141,1.15186e-09,1
142,1.13969e-09,1
143,1.12847e-09,1
144,1.12134e-09,1
145,1.12054e-09,1
146,1.10311e-09,1
147,1.09204e-09,1
148,1.07505e-09,1
149,1.06069e-09,1
150,1.0487e-09,1
151,1.04357e-09,1
152,1.02235e-09,1
153,1.01969e-09,1
154,1.00988e-09,1
155,1.00706e-09,1
156,1.00003e-09,1
157,9.84641e-10,1
158,9.68737e-10,1
159,9.66566e-10,1
160,9.47063e-10,1
161,9.47015e-10,1
162,9.31147e-10,1
163,9.267e-10,1
164,9.17684e-10,1
165,9.00496e-10,1
166,8.91444e-10,1
167,8.82579e-10,1
168,8.8187e-10,1
169,8.68933e-10,1
170,8.62448e-10,1
171,8.60416e-10,1
172,8.44135e-10,1
173,8.3517e-10,1
174,8.29346e-10,1
175,8.22889e-10,1
176,8.13567e-10,1
177,8.03995e-10,1
178,8.00702e-10,1
179,7.88073e-10,1
180,7.83667e-10,1
181,7.7887e-10,1
182,7.69994e-10,1
183,7.60684e-10,1
184,7.57632e-10,1
185,7.511e-10,1
186,7.43949e-10,1
187,7.3328e-10,1
188,7.29239e-10,1
189,7.25053e-10,1
190,7.19705e-10,1
191,7.09552e-10,1
192,7.00573e-10,1
193,6.92566e-10,1
194,6.86741e-10,1
195,6.83778e-10,1
196,6.79206e-10,1
197,6.67294e-10,1
198,6.62856e-10,1
199,6.56866e-10,1
200,6.48733e-10,1
201,6.4154e-10,1
202,6.37789e-10,1
203,6.30559e-10,1
204,6.29037e-10,1
205,6.16207e-10,1
206,6.10479e-10,1
207,6.06263e-10,1
208,5.99447e-10,1
209,5.89973e-10,1
210,5.87271e-10,1
211,5.81717e-10,1
212,5.76078e-10,1
213,5.68147e-10,1
214,5.5602e-10,1
215,5.55695e-10,1
216,5.43878e-10,1
217,5.39309e-10,1
218,5.31217e-10,1
219,5.29615e-10,1
220,5.21107e-10,1
221,5.18631e-10,1
222,5.13775e-10,1
223,5.09831e-10,1
224,5.05641e-10,1
225,4.99451e-10,1
226,4.85863e-10,1
227,4.80269e-10,1
228,4.72532e-10,1
229,4.68063e-10,1
230,4.61721e-10,1
231,4.61492e-10,1
232,4.51508e-10,1
233,4.4919e-10,1
234,4.42305e-10,1
235,4.40576e-10,1
236,4.21585e-10,1
237,4.1155e-10,1
238,4.06178e-10,1
239,4.02943e-10,1
240,3.95089e-10,1
241,3.84179e-10,1
242,3.77033e-10,1
243,3.68828e-10,1
244,3.66277e-10,1
245,3.5304e-10,1
246,3.35923e-10,1
247,3.25132e-10,1
248,3.10384e-10,1
249,3.05209e-10,1
250,3.00095e-10,1
251,2.84403e-10,1
252,2.80858e-10,1
253,2.71071e-10,1
254,2.66326e-10,1
255,2.57873e-10,1
256,2.41609e-10,1
257,1.94824e-10,1
258,1.79085e-10,1
259,1.65264e-10,1
260,1.56056e-10,1
261,1.43972e-10,1
262,1.40655e-10,1
263,1.35387e-10,1
264,1.33803e-10,1
265,1.27884e-10,1
266,1.24103e-10,1
267,1.20101e-10,1
268,1.19924e-10,1
269,1.17753e-10,1
270,1.16511e-10,1
271,1.1267e-10,1
272,1.1115e-10,1
273,1.08691e-10,1
274,1.08246e-10,1
275,1.08102e-10,1
276,1.04482e-10,1
277,1.01837e-10,1
278,1.00211e-10,1
279,9.99418e-11,1
280,9.8719e-11,1
281,9.74597e-11,1
282,9.66145e-11,1
283,9.42937e-11,1
284,9.29427e-11,1
285,9.19082e-11,1
286,9.03492e-11,1
287,8.81101e-11,1
288,8.67377e-11,1
289,8.54777e-11,1
290,8.46689e-11,1
291,8.33674e-11,1
292,8.21963e-11,1
293,8.03903e-11,1
294,7.88185e-11,1
295,7.6621e-11,1
296,7.612e-11,1
297,7.54217e-11,1
298,7.49154e-11,1
299,7.375e-11,1
300,7.28368e-11,1
301,7.20886e-11,1
302,7.03022e-11,1
303,6.82612e-11,1
304,6.6915e-11,1
305,6.58455e-11,1
306,6.40362e-11,1
307,6.33336e-11,1
308,6.14067e-11,1
309,6.13787e-11,1
310,6.06029e-11,1
311,5.99114e-11,1
312,5.86403e-11,1
313,5.66995e-11,1
314,5.55609e-11,1
315,5.44415e-11,1
316,5.30927e-11,1
317,5.06498e-11,1
318,4.89692e-11,1
319,4.88752e-11,1
320,4.64655e-11,1
321,4.36461e-11,1
322,4.31047e-11,1
323,4.06009e-11,1
324,3.8618e-11,1
325,3.44366e-11,1
326,3.07975e-11,1
327,2.73596e-11,1
328,2.36548e-11,1
329,1.89912e-11,1
330,1.86308e-11,1
331,1.47443e-11,1
332,1.31664e-11,1
333,1.25075e-11,1
334,1.16672e-11,1
335,1.04402e-11,1
336,1.02174e-11,1
337,8.40883e-12,1
338,5.85616e-12,1
339,5.48859e-12,1
340,4.07209e-12,1
341,3.52955e-12,1
342,3.10134e-12,1
343,2.68702e-12,1
344,2.24721e-12,1
345,1.92517e-12,1
346,1.6795e-12,1
347,1.38735e-12,1
348,1.36829e-12,1
349,9.28769e-13,1
350,7.99357e-13,1
351,5.26729e-13,1
352,4.37705e-13,1
353,2.79593e-13,1
354,1.59306e-13,1
355,1.28446e-13,1
356,1.09277e-13,1
357,6.4467e-14,1
358,2.9049e-14,1
359,3.47164e-15,1
360,2.06716e-15,1
361,2.04517e-15,1
362,1.21773e-15,1
363,1.10874e-15,1
364,6.31615e-16,1
365,4.36356e-16,1
366,4.06157e-16,1
367,3.02758e-16,1
368,1.31819e-16,1
369,7.62415e-17,1
370,6.75978e-17,1
371,4.69877e-17,1
372,4.63415e-17,1
373,2.66922e-17,1
374,2.56624e-17,1
375,2.53642e-17,1
376,2.13613e-17,1
377,1.87185e-17,1
378,1.71104e-17,1
379,1.69562e-17,1
380,1.61569e-17,1
381,1.28976e-17,1
382,1.04351e-17,1
383,8.90022e-18,1
384,7.25831e-18,1
385,4.3787e-18,1
386,3.097e-18,1
387,0,1
388,0,1
389,0,1
390,0,1
391,0,1
392,0,1
393,0,1
394,0,1
395,0,1
396,0,1
397,0,1
398,0,1
399,0,1
400,0,1
401,0,1
402,0,1
403,0,1
404,0,1
405,0,1
406,0,1
407,0,1
408,0,1
409,0,1
410,0,1
411,0,1
412,0,1
413,0,1
414,0,1
415,0,1
416,0,1
417,0,1
418,0,1
